No,Latitude,Longitude  
1,40.68283333,-74.1529
2,40.67415,-74.13631667
3,40.65833333,-74.145
4,40.645,-74.15166667
5,40.64166667,-74.14666667
6,40.64333333,-74.13333333
7,40.64333333,-74.12333333
8,40.64666667,-74.11333333
9,40.64666667,-74.095
10,40.65166667,-74.08333333
11,40.645,-74.05833333
12,40.575,-74.03333333
13,40.53833333,-74.02333333
14,40.52666667,-74.01166667
15,40.48,-73.89333333
16,40.46788333,-73.85938333
17,40.45148333,-73.83821667
18,40.45141667,-73.83291667
19,40.36666667,-73.73333333
20,40.2683,-73.60851667
21,37.87416667,-70.62516667
22,34,-71.66666667
23,25,-74.66666667
24,22,-74.66666667
25,20.38166667,-74.02166667
26,19.94666667,-74.02083333
27,10.68333333,-79.2
28,9.666666667,-79.83333333
29,9.439166667,-79.89716667
30,9.409516667,-79.89688333
31,9.375816667,-79.89688333
32,9.372466667,-79.89613333
33,9.369033333,-79.89283333
34,9.369366667,-79.88773333
35,9.371666667,-79.88566667
